Orientation.of.counted.reads.relative.to.the.strand.location.of.the.annotation	Sequence.name	Source	Feature	Start	End	Score	Strand	Frame	Attributes	Harboring_replicate_1	Harboring_replicate_2	Harboring_replicate_3	Steady_state_replicate_1	Steady_state_replicate_2	Steady_state_replicate_3	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
sense	NC_007795.1	RefSeq	CDS	566072	567448	.	+	0	ID=cds-YP_499129.1;Parent=gene-SAOUHSC_00557;Dbxref=Genbank:YP_499129.1,GeneID:3920602;Name=YP_499129.1;Note=conserved hypothetical protein;gbkey=CDS;locus_tag=SAOUHSC_00557;product=hypothetical protein;protein_id=YP_499129.1;transl_table=11	0	4	0	10.5	314.5	80.5	7.39152874997585	0.152022679656746	1.02863701734683	0.147790403313366	0.882508183213583	0.953614482666781
sense	NC_007795.1	RefSeq	CDS	567450	568589	.	+	0	ID=cds-YP_499130.1;Parent=gene-SAOUHSC_00558;Dbxref=Genbank:YP_499130.1,GeneID:3920603;Name=YP_499130.1;Note=acetyl-CoA acetyltransferase%2C putative;gbkey=CDS;locus_tag=SAOUHSC_00558;product=acetyl-CoA acetyltransferase;protein_id=YP_499130.1;transl_table=11	12	1	3	17	573.5	72	44.3640302143341	2.25953979496662	0.917852274320723	2.46176847645646	0.0138253880785718	0.0773968841456526
sense	NC_007795.1	RefSeq	CDS	568564	568929	.	+	0	ID=cds-YP_499131.1;Parent=gene-SAOUHSC_00559;Dbxref=Genbank:YP_499131.1,GeneID:3920604;Name=YP_499131.1;Note=conserved hypothetical protein;gbkey=CDS;locus_tag=SAOUHSC_00559;product=hypothetical protein;protein_id=YP_499131.1;transl_table=11	0	1	1	7	110.5	8	3.21196071029057	0.746331002366706	1.16008017589131	0.643344329018715	0.520000698276943	0.751215850173871
sense	NC_007795.1	RefSeq	CDS	568932	569201	.	+	0	ID=cds-YP_499132.1;Parent=gene-SAOUHSC_00560;Dbxref=Genbank:YP_499132.1,GeneID:3920605;Name=YP_499132.1;Note=conserved hypothetical protein;gbkey=CDS;locus_tag=SAOUHSC_00560;product=hypothetical protein;protein_id=YP_499132.1;transl_table=11	0	0	0	7	162	54	2.37333852596152	-1.14464503971891	1.24090609026383	-0.92242680465493	0.356305993503537	0.619684919537132
sense	NC_007795.1	RefSeq	CDS	569402	569569	.	-	0	ID=cds-YP_499133.1;Parent=gene-SAOUHSC_00561;Dbxref=Genbank:YP_499133.1,GeneID:3920606;Name=YP_499133.1;Note=conserved hypothetical protein;gbkey=CDS;locus_tag=SAOUHSC_00561;product=hypothetical protein;protein_id=YP_499133.1;transl_table=11	2587.5	8508.33333333333	6484	393.5	1102.5	158108.733333333	24675.0786089512	2.31067546761749	1.08875742441299	2.12230513042269	NA	NA
sense	NC_007795.1	RefSeq	CDS	570076	570906	.	-	0	ID=cds-YP_499134.1;Parent=gene-SAOUHSC_00562;Dbxref=Genbank:YP_499134.1,GeneID:3920607;Name=YP_499134.1;Note=phosphomethylpyrimidine kinase;gbkey=CDS;locus_tag=SAOUHSC_00562;product=phosphomethylpyrimidine kinase;protein_id=YP_499134.1;transl_table=11	4	22	32	405	11495.1666666667	2688.5	204.653769242187	-1.01754927026044	0.58091143525454	-1.75164269199586	0.0798352667669312	0.250288745422561
sense	NC_007795.1	RefSeq	CDS	571090	571746	.	+	0	ID=cds-YP_499135.1;Parent=gene-SAOUHSC_00564;Dbxref=Genbank:YP_499135.1,GeneID:3920608;Name=YP_499135.1;Note=Excises uracil residues from the DNA which can arise as a result of misincorporation of dUMP residues by DNA polymerase or due to deamination of cytosine;gbkey=CDS;locus_tag=SAOUHSC_00564;product=uracil-DNA glycosylase;protein_id=YP_499135.1;transl_table=11	3.5	5	8.5	71.5	2123.5	388	48.0692343362335	-0.0654434249857526	0.658341849209063	-0.0994064482827224	0.920815563135797	0.967459910597763
sense	NC_007795.1	RefSeq	CDS	571747	572127	.	+	0	ID=cds-YP_499136.1;Parent=gene-SAOUHSC_00565;Dbxref=Genbank:YP_499136.1,GeneID:3920609;Name=YP_499136.1;Note=conserved hypothetical protein;gbkey=CDS;locus_tag=SAOUHSC_00565;product=hypothetical protein;protein_id=YP_499136.1;transl_table=11	0.5	2	5.5	33.5	996.5	235.5	20.1535435274936	-0.341622601815535	0.816973410437549	-0.418156328530412	0.675832823265283	0.840525726616379
sense	NC_007795.1	RefSeq	CDS	572260	572628	.	+	0	ID=cds-YP_499137.1;Parent=gene-SAOUHSC_00567;Dbxref=Genbank:YP_499137.1,GeneID:3920610;Name=YP_499137.1;Note=conserved hypothetical protein;gbkey=CDS;locus_tag=SAOUHSC_00567;product=hypothetical protein;protein_id=YP_499137.1;transl_table=11	0	0	5	54	753	241.5	17.8894042524306	-0.930981333710624	0.908998019806697	-1.02418411638411	0.305748319585506	0.568188178198162
sense	NC_007795.1	RefSeq	CDS	572749	574233	.	+	0	ID=cds-YP_499138.1;Parent=gene-SAOUHSC_00569;Dbxref=Genbank:YP_499138.1,GeneID:3920611;Name=YP_499138.1;Note=conserved hypothetical protein;gbkey=CDS;locus_tag=SAOUHSC_00569;product=hypothetical protein;protein_id=YP_499138.1;transl_table=11	13.1666666666667	28	34	1094.33333333333	6383.33333333333	1758.33333333333	252.967542372945	-0.636937464044055	0.618487668227868	-1.02983049907697	0.303089580921731	0.566780981588061
sense	NC_007795.1	RefSeq	CDS	574375	574827	.	-	0	ID=cds-YP_499139.1;Parent=gene-SAOUHSC_00571;Dbxref=Genbank:YP_499139.1,GeneID:3920612;Name=YP_499139.1;Note=conserved hypothetical protein;gbkey=CDS;locus_tag=SAOUHSC_00571;product=hypothetical protein;protein_id=YP_499139.1;transl_table=11	0	3	3	51.5	950.5	153.5	17.6890536330752	-0.687048547453208	0.826745187027586	-0.831028179218518	0.405957710551154	0.66259764250878
sense	NC_007795.1	RefSeq	CDS	574840	575490	.	-	0	ID=cds-YP_499140.1;Parent=gene-SAOUHSC_00572;Dbxref=Genbank:YP_499140.1,GeneID:3920613;Name=YP_499140.1;Note=conserved hypothetical protein;gbkey=CDS;locus_tag=SAOUHSC_00572;product=hypothetical protein;protein_id=YP_499140.1;transl_table=11	0	2	1	38.5	664.5	86.5	10.8787936355516	-1.00417045930505	0.967664655818812	-1.03772567621099	0.299397787573541	0.563794564248956
sense	NC_007795.1	RefSeq	CDS	576153	576905	.	-	0	ID=cds-YP_499141.1;Parent=gene-SAOUHSC_00573;Dbxref=Genbank:YP_499141.1,GeneID:3920614;Name=YP_499141.1;Note=conserved hypothetical protein;gbkey=CDS;locus_tag=SAOUHSC_00573;product=heme peroxidase;protein_id=YP_499141.1;transl_table=11	22	77	65	2107.5	19515	11881.5	687.830386989625	-1.23729218959121	0.518147163069978	-2.38791655687229	0.0169441884287444	0.088734778615025
sense	NC_007795.1	RefSeq	CDS	577073	578059	.	+	0	ID=cds-YP_499142.1;Parent=gene-SAOUHSC_00574;Dbxref=Genbank:YP_499142.1,GeneID:3920615;Name=YP_499142.1;Note=in Salmonella this enzyme is required for ethanolamine catabolism%3B has higher affinity for CoA than Pta;gbkey=CDS;gene=eutD;locus_tag=SAOUHSC_00574;product=phosphotransacetylase;protein_id=YP_499142.1;transl_table=11	34	156	110	673.5	19915	4197	583.526892302541	0.582071572801832	0.492459418286046	1.18196860733758	0.237218157318447	0.496133996638062
sense	NC_007795.1	RefSeq	CDS	578134	578898	.	+	0	ID=cds-YP_499143.1;Parent=gene-SAOUHSC_00575;Dbxref=Genbank:YP_499143.1,GeneID:3920616;Name=YP_499143.1;Note=conserved hypothetical protein;gbkey=CDS;locus_tag=SAOUHSC_00575;product=hypothetical protein;protein_id=YP_499143.1;transl_table=11	19	105	74	682.5	16229	4275	440.873690693186	0.0748267443098016	0.49238878281702	0.151966793154199	0.879213126635391	0.953078150370044
sense	NC_007795.1	RefSeq	CDS	579485	580405	.	+	0	ID=cds-YP_499144.1;Parent=gene-SAOUHSC_00577;Dbxref=Genbank:YP_499144.1,GeneID:3920617;Name=YP_499144.1;Note=mevalonate kinase%2C putative;gbkey=CDS;locus_tag=SAOUHSC_00577;product=mevalonate kinase;protein_id=YP_499144.1;transl_table=11	14.5	20	27	257	5000	2102.33333333333	170.938863041698	-0.014967995439289	0.564580427724002	-0.0265117150795142	0.978849189602009	0.991999136733522
sense	NC_007795.1	RefSeq	CDS	580410	581393	.	+	0	ID=cds-YP_499145.1;Parent=gene-SAOUHSC_00578;Dbxref=Genbank:YP_499145.1,GeneID:3920618;Name=YP_499145.1;Note=diphosphomevalonate decarboxylase;gbkey=CDS;locus_tag=SAOUHSC_00578;product=mevalonate diphosphate decarboxylase;protein_id=YP_499145.1;transl_table=11	203.833333333333	15	12.5	138.5	2488.66666666667	856.5	655.728128940849	3.32891749051825	0.978177957262721	3.40318187074437	NA	NA
sense	NC_007795.1	RefSeq	CDS	581406	582482	.	+	0	ID=cds-YP_499146.1;Parent=gene-SAOUHSC_00579;Dbxref=Genbank:YP_499146.1,GeneID:3920503;Name=YP_499146.1;Note=phosphomevalonate kinase;gbkey=CDS;locus_tag=SAOUHSC_00579;product=phosphomevalonate kinase;protein_id=YP_499146.1;transl_table=11	18	51	48.5	623	5656	4735	313.099764570014	-0.165489383431608	0.572384263239274	-0.2891228743695	0.77248734953469	0.895239780017638
sense	NC_007795.1	RefSeq	CDS	582659	583000	.	+	0	ID=cds-YP_499147.1;Parent=gene-SAOUHSC_00580;Dbxref=Genbank:YP_499147.1,GeneID:3920504;Name=YP_499147.1;Note=conserved hypothetical protein;gbkey=CDS;locus_tag=SAOUHSC_00580;product=hypothetical protein;protein_id=YP_499147.1;transl_table=11	66.1666666666668	98	83	425	4069	1681	450.647849561005	1.97235967740811	0.550991661014269	3.57965431596076	0.000344049030304859	0.00477327309609089
sense	NC_007795.1	RefSeq	CDS	583052	584374	.	-	0	ID=cds-YP_499148.1;Parent=gene-SAOUHSC_00581;Dbxref=Genbank:YP_499148.1,GeneID:3920505;Name=YP_499148.1;Note=conserved hypothetical protein;gbkey=CDS;locus_tag=SAOUHSC_00581;product=hypothetical protein;protein_id=YP_499148.1;transl_table=11	21	50.5	59	71	821.5	214.5	180.590921206578	3.45282205575857	0.505280696403182	6.83347311768949	8.28830340522949e-12	1.667330368352e-09
sense	NC_007795.1	RefSeq	CDS	584361	584777	.	-	0	ID=cds-YP_499149.1;Parent=gene-SAOUHSC_00582;Dbxref=Genbank:YP_499149.1,GeneID:3920506;Name=YP_499149.1;Note=conserved hypothetical protein;gbkey=CDS;locus_tag=SAOUHSC_00582;product=hypothetical protein;protein_id=YP_499149.1;transl_table=11	6	15.5	11	11	151	29.5	45.2256086595465	4.03967939704105	0.61115208634677	6.60994126877434	3.84472525636935e-11	5.80072923054725e-09
sense	NC_007795.1	RefSeq	CDS	584859	584960	.	+	0	ID=cds-YP_499150.1;Parent=gene-SAOUHSC_00583;Dbxref=Genbank:YP_499150.1,GeneID:3920507;Name=YP_499150.1;Note=conserved hypothetical protein;gbkey=CDS;locus_tag=SAOUHSC_00583;product=hypothetical protein;protein_id=YP_499150.1;transl_table=11	0	0	0	0	2	3	0.0641231702745835	0.937051910359591	1.25444868525759	0.746983054286654	0.455073789820106	NA
sense	NC_007795.1	RefSeq	CDS	585426	586835	.	+	0	ID=cds-YP_499151.1;Parent=gene-SAOUHSC_00584;Dbxref=Genbank:YP_499151.1,GeneID:3920508;Name=YP_499151.1;Note=conserved hypothetical protein;gbkey=CDS;locus_tag=SAOUHSC_00584;product=hypothetical protein;protein_id=YP_499151.1;transl_table=11	0	2	5	101.5	4226.5	218	40.7480815298644	-1.80988732162947	0.879979456534609	-2.05673815245287	0.0397114201213368	0.159312385858756
sense	NC_007795.1	RefSeq	CDS	586908	587465	.	+	0	ID=cds-YP_499152.1;Parent=gene-SAOUHSC_00585;Dbxref=Genbank:YP_499152.1,GeneID:3920509;Name=YP_499152.1;Note=conserved hypothetical protein;gbkey=CDS;locus_tag=SAOUHSC_00585;product=hypothetical protein;protein_id=YP_499152.1;transl_table=11	0	1	2	17	688	57.1666666666667	8.89060091100687	-0.608146892411636	1.01483332944907	-0.599257902518621	0.549000915853968	0.771867808904605
sense	NC_007795.1	RefSeq	CDS	587591	588232	.	+	0	ID=cds-YP_499153.1;Parent=gene-SAOUHSC_00586;Dbxref=Genbank:YP_499153.1,GeneID:3920510;Name=YP_499153.1;Note=conserved hypothetical protein;gbkey=CDS;locus_tag=SAOUHSC_00586;product=hypothetical protein;protein_id=YP_499153.1;transl_table=11	0	1	2	17	886.5	73	10.1778575324212	-0.846520159121933	1.01167455973188	-0.836751454288109	0.402732290066778	0.660004043302811
sense	NC_007795.1	RefSeq	CDS	588392	588937	.	+	0	ID=cds-YP_499154.1;Parent=gene-SAOUHSC_00587;Dbxref=Genbank:YP_499154.1,GeneID:3920511;Name=YP_499154.1;Note=conserved hypothetical protein;gbkey=CDS;locus_tag=SAOUHSC_00587;product=hypothetical protein;protein_id=YP_499154.1;transl_table=11	0	0	3	21	2056.83333333333	74	16.6009800518183	-1.520616286526	1.07360687553533	-1.41636228416269	0.156669460576832	0.390265740860742
sense	NC_007795.1	RefSeq	CDS	589012	589641	.	+	0	ID=cds-YP_499155.1;Parent=gene-SAOUHSC_00588;Dbxref=Genbank:YP_499155.1,GeneID:3920512;Name=YP_499155.1;Note=conserved hypothetical protein;gbkey=CDS;locus_tag=SAOUHSC_00588;product=hypothetical protein;protein_id=YP_499155.1;transl_table=11	0	1	0	23	952.5	66	8.79230684296291	-1.87711056308859	1.11101783342781	-1.68954134363186	0.0911157358539522	0.272219537563664
sense	NC_007795.1	RefSeq	CDS	589698	589814	.	+	0	ID=cds-YP_499156.1;Parent=gene-SAOUHSC_00589;Dbxref=Genbank:YP_499156.1,GeneID:3920513;Name=YP_499156.1;gbkey=CDS;locus_tag=SAOUHSC_00589;product=hypothetical protein;protein_id=YP_499156.1;transl_table=11	0	0	0	10	380.5	21	3.12900278445162	-1.42852726496838	1.23878784967607	-1.1531653828716	0.248842509213986	0.507825848717462
sense	NC_007795.1	RefSeq	CDS	589837	590430	.	+	0	ID=cds-YP_499157.1;Parent=gene-SAOUHSC_00591;Dbxref=Genbank:YP_499157.1,GeneID:3920514;Name=YP_499157.1;Note=conserved hypothetical protein;gbkey=CDS;locus_tag=SAOUHSC_00591;product=hypothetical protein;protein_id=YP_499157.1;transl_table=11	1	1	1.5	10	598.833333333333	45.5	10.5544171914087	0.119507561517802	0.974687545847468	0.122611150647147	0.90241502413433	0.960930687366684
sense	NC_007795.1	RefSeq	CDS	590589	591230	.	+	0	ID=cds-YP_499158.1;Parent=gene-SAOUHSC_00592;Dbxref=Genbank:YP_499158.1,GeneID:3920515;Name=YP_499158.1;Note=conserved hypothetical protein;gbkey=CDS;locus_tag=SAOUHSC_00592;product=hypothetical protein;protein_id=YP_499158.1;transl_table=11	0	0	0	18	816.5	51	6.53600257337319	-2.3033117900214	1.1825706544025	-1.94771600449122	0.0514489540123408	0.188750417911536
sense	NC_007795.1	RefSeq	CDS	592358	592987	.	+	0	ID=cds-YP_499161.1;Parent=gene-SAOUHSC_00596;Dbxref=Genbank:YP_499161.1,GeneID:3920518;Name=YP_499161.1;Note=conserved hypothetical protein;gbkey=CDS;locus_tag=SAOUHSC_00596;product=hypothetical protein;protein_id=YP_499161.1;transl_table=11	0	2	1	20	497	52	7.92376171658881	-0.450707404396934	1.00590110228681	-0.448063336815417	0.654107486966667	0.831498406286222
sense	NC_007795.1	RefSeq	CDS	593183	593752	.	+	0	ID=cds-YP_499162.1;Parent=gene-SAOUHSC_00598;Dbxref=Genbank:YP_499162.1,GeneID:3920519;Name=YP_499162.1;Note=conserved hypothetical protein;gbkey=CDS;locus_tag=SAOUHSC_00598;product=hypothetical protein;protein_id=YP_499162.1;transl_table=11	47.6666666666667	0	1	6	187	21.5	141.815074854862	3.35784463982933	1.31826717206381	2.54716548434751	0.0108601919117676	0.0668788348852221
sense	NC_007795.1	RefSeq	CDS	593789	594424	.	+	0	ID=cds-YP_499163.1;Parent=gene-SAOUHSC_00599;Dbxref=Genbank:YP_499163.1,GeneID:3920520;Name=YP_499163.1;Note=conserved hypothetical protein;gbkey=CDS;locus_tag=SAOUHSC_00599;product=hypothetical protein;protein_id=YP_499163.1;transl_table=11	13.3333333333333	2	3.5	15	433	36	47.6613576965216	2.84360244148307	0.893837624891594	3.18134117684736	0.00146594877681892	0.015058724881876
sense	NC_007795.1	RefSeq	CDS	594375	594635	.	+	0	ID=cds-YP_499164.1;Parent=gene-SAOUHSC_00600;Dbxref=Genbank:YP_499164.1,GeneID:3920521;Name=YP_499164.1;Note=conserved hypothetical protein;gbkey=CDS;locus_tag=SAOUHSC_00600;product=hypothetical protein;protein_id=YP_499164.1;transl_table=11	0	5	2	33	945	78	15.4318997177403	-0.171511673189528	0.884386355048073	-0.193932970822696	0.846228366784584	0.93451044667254
sense	NC_007795.1	RefSeq	CDS	594659	595285	.	+	0	ID=cds-YP_499165.1;Parent=gene-SAOUHSC_00602;Dbxref=Genbank:YP_499165.1,GeneID:3918921;Name=YP_499165.1;Note=conserved hypothetical protein;gbkey=CDS;locus_tag=SAOUHSC_00602;product=hypothetical protein;protein_id=YP_499165.1;transl_table=11	1	2	3.5	14	397.833333333333	32	12.5971248480255	1.07115491217115	0.87735405246802	1.22089241983663	0.222126754890057	0.476780591524349
sense	NC_007795.1	RefSeq	CDS	595555	596493	.	+	0	ID=cds-YP_499166.1;Parent=gene-SAOUHSC_00603;Dbxref=Genbank:YP_499166.1,GeneID:3918922;Name=YP_499166.1;Note=conserved hypothetical protein;gbkey=CDS;locus_tag=SAOUHSC_00603;product=hypothetical protein;protein_id=YP_499166.1;transl_table=11	11.5	11	4	36	3003.25	211.5	70.6039462422596	0.927350720836029	0.827526671814871	1.1206294037656	0.262445643570333	0.526199155796332
sense	NC_007795.1	RefSeq	CDS	596704	597240	.	+	0	ID=cds-YP_499167.1;Parent=gene-SAOUHSC_00604;Dbxref=Genbank:YP_499167.1,GeneID:3918923;Name=YP_499167.1;Note=conserved hypothetical protein;gbkey=CDS;locus_tag=SAOUHSC_00604;product=hypothetical protein;protein_id=YP_499167.1;transl_table=11	2.5	27	4	366	1874.5	3026	128.276934326233	-1.28066148426669	0.798828129029429	-1.60317524850144	0.108895968445972	0.306960458480049
sense	NC_007795.1	RefSeq	CDS	597409	597885	.	+	0	ID=cds-YP_499168.1;Parent=gene-SAOUHSC_00605;Dbxref=Genbank:YP_499168.1,GeneID:3918924;Name=YP_499168.1;Note=conserved hypothetical protein;gbkey=CDS;locus_tag=SAOUHSC_00605;product=hypothetical protein;protein_id=YP_499168.1;transl_table=11	1.5	1	3	74.5	1743.5	311.5	30.3967392151133	-1.21187554579617	0.786970548951984	-1.53992490241222	0.123578659900233	0.3340637010069
sense	NC_007795.1	RefSeq	CDS	597925	599220	.	+	0	ID=cds-YP_499169.1;Parent=gene-SAOUHSC_00606;Dbxref=Genbank:YP_499169.1,GeneID:3918925;Name=YP_499169.1;Note=conserved hypothetical protein;gbkey=CDS;locus_tag=SAOUHSC_00606;product=hypothetical protein;protein_id=YP_499169.1;transl_table=11	2	24	21	536	11064	2338.16666666667	191.561018573499	-1.38003539306967	0.581466067834442	-2.37337218697791	0.0176264923713473	0.0909195568043429
sense	NC_007795.1	RefSeq	CDS	599248	599769	.	+	0	ID=cds-YP_499170.1;Parent=gene-SAOUHSC_00607;Dbxref=Genbank:YP_499170.1,GeneID:3918926;Name=YP_499170.1;Note=conserved hypothetical protein;gbkey=CDS;locus_tag=SAOUHSC_00607;product=hypothetical protein;protein_id=YP_499170.1;transl_table=11	7.5	20	17	881.5	9737.5	3332	241.254232103118	-1.60327615393053	0.52520240197056	-3.0526824475955	0.00226805809487287	0.0217265565119965
sense	NC_007795.1	RefSeq	CDS	600268	601278	.	+	0	ID=cds-YP_499171.1;Parent=gene-SAOUHSC_00608;Dbxref=Genbank:YP_499171.1,GeneID:3918927;Name=YP_499171.1;Note=similar to zinc-dependent eukaryotic ADH enzymes and distinct from fermentative ADHs;gbkey=CDS;locus_tag=SAOUHSC_00608;product=alcohol dehydrogenase;protein_id=YP_499171.1;transl_table=11	21.5	45.5	74.5	14798	530639.7	18504.5	4425.72751425324	-4.20430369294533	0.709991764839604	-5.92162318093244	3.18779393516461e-09	2.85012391092125e-07
sense	NC_007795.1	RefSeq	CDS	601353	601460	.	+	0	ID=cds-YP_499172.1;Parent=gene-SAOUHSC_00609;Dbxref=Genbank:YP_499172.1,GeneID:3918928;Name=YP_499172.1;Note=conserved hypothetical protein;gbkey=CDS;locus_tag=SAOUHSC_00609;product=hypothetical protein;protein_id=YP_499172.1;transl_table=11	4	0	8	974	6770.5	1741	166.631661551979	-2.69218761973053	0.826150531093244	-3.25871317442351	0.0011191875744864	0.0122805400218644
sense	NC_007795.1	RefSeq	CDS	601586	601969	.	+	0	ID=cds-YP_499173.1;Parent=gene-SAOUHSC_00610;Dbxref=Genbank:YP_499173.1,GeneID:3918929;Name=YP_499173.1;Note=conserved hypothetical protein;gbkey=CDS;locus_tag=SAOUHSC_00610;product=hypothetical protein;protein_id=YP_499173.1;transl_table=11	2	15	4.25	268	5636.75	715.5	86.8949929299617	-1.29707935936984	0.677216404088338	-1.91531001248553	0.0554529794604516	0.196956026519131
sense	NC_007795.1	RefSeq	CDS	601966	603627	.	+	0	ID=cds-YP_499174.1;Parent=gene-SAOUHSC_00611;Dbxref=Genbank:YP_499174.1,GeneID:3918930;Name=YP_499174.1;Note=catalyzes a two-step reaction%2C first charging an arginine molecule by linking its carboxyl group to the alpha-phosphate of ATP%2C followed by transfer of the aminoacyl-adenylate to its tRNA%3B class-I aminoacyl-tRNA synthetase;gbkey=CDS;gene=argS;locus_tag=SAOUHSC_00611;product=arginyl-tRNA synthetase;protein_id=YP_499174.1;transl_table=11	31.5	44	40.25	2536	22791.25	6800.5	622.138974582655	-1.34012795400573	0.571875960809363	-2.34338920647946	0.019109436905036	0.0965066541605794
sense	NC_007795.1	RefSeq	CDS	604016	604651	.	+	0	ID=cds-YP_499175.1;Parent=gene-SAOUHSC_00612;Dbxref=Genbank:YP_499175.1,GeneID:3918931;Name=YP_499175.1;Note=endonuclease III%2C putative;gbkey=CDS;locus_tag=SAOUHSC_00612;product=endonuclease III;protein_id=YP_499175.1;transl_table=11	0	3	0	20	389	68	7.50395051890537	-0.411265044284041	1.02583595640397	-0.400907222754911	0.688488431996205	0.847676462322097
sense	NC_007795.1	RefSeq	CDS	605090	605917	.	+	0	ID=cds-YP_499176.1;Parent=gene-SAOUHSC_00613;Dbxref=Genbank:YP_499176.1,GeneID:3918932;Name=YP_499176.1;Note=iron compound ABC transporter%2C substrate-binding protein%2C putative;gbkey=CDS;locus_tag=SAOUHSC_00613;product=iron compound ABC transporter substrate-binding protein;protein_id=YP_499176.1;transl_table=11	2	4	5	190	2763	915	60.8077680142906	-1.622106424579	0.653284925541724	-2.48299993028907	0.0130281113120519	0.0747858697287822
sense	NC_007795.1	RefSeq	CDS	606065	607015	.	+	0	ID=cds-YP_499177.1;Parent=gene-SAOUHSC_00614;Dbxref=Genbank:YP_499177.1,GeneID:3918933;Name=YP_499177.1;Note=conserved hypothetical protein;gbkey=CDS;locus_tag=SAOUHSC_00614;product=hypothetical protein;protein_id=YP_499177.1;transl_table=11	103.5	2	1	16	535.5	84	306.482033767464	4.49692048581493	1.09167257035032	4.11929419860009	NA	NA
sense	NC_007795.1	RefSeq	CDS	607070	607789	.	+	0	ID=cds-YP_499178.1;Parent=gene-SAOUHSC_00615;Dbxref=Genbank:YP_499178.1,GeneID:3918934;Name=YP_499178.1;Note=haloacid dehalogenase-like hydrolase%2C putative;gbkey=CDS;locus_tag=SAOUHSC_00615;product=haloacid dehalogenase-like hydrolase;protein_id=YP_499178.1;transl_table=11	6	3	2	56	1857	284.25	41.2602546461874	-0.0712649022322475	0.794607980271296	-0.0896856110203124	0.928537050600775	0.968245546501197
sense	NC_007795.1	RefSeq	CDS	607773	608573	.	+	0	ID=cds-YP_499179.1;Parent=gene-SAOUHSC_00616;Dbxref=Genbank:YP_499179.1,GeneID:3918935;Name=YP_499179.1;Note=conserved hypothetical protein;gbkey=CDS;locus_tag=SAOUHSC_00616;product=hypothetical protein;protein_id=YP_499179.1;transl_table=11	2.5	14.5	13	299.5	4687	1015.25	98.6862560172648	-0.939525649696191	0.581334776650373	-1.61615249496976	0.106061346789593	0.300507149237181
sense	NC_007795.1	RefSeq	CDS	608709	609215	.	+	0	ID=cds-YP_499180.1;Parent=gene-SAOUHSC_00617;Dbxref=Genbank:YP_499180.1,GeneID:3918936;Name=YP_499180.1;Note=conserved hypothetical protein;gbkey=CDS;locus_tag=SAOUHSC_00617;product=hypothetical protein;protein_id=YP_499180.1;transl_table=11	187	844	792.5	8792	23917.3333333333	43422	3750.73309791145	0.346948573431855	0.676655674329083	0.512740211298547	0.608133057474372	0.806429901278823
sense	NC_007795.1	RefSeq	CDS	609377	610093	.	+	0	ID=cds-YP_499181.1;Parent=gene-SAOUHSC_00618;Dbxref=Genbank:YP_499181.1,GeneID:3918937;Name=YP_499181.1;Note=conserved hypothetical protein;gbkey=CDS;locus_tag=SAOUHSC_00618;product=hypothetical protein;protein_id=YP_499181.1;transl_table=11	1	11	8	49	379	825.5	41.8523730079343	0.0835268297786729	0.829851354718129	0.100652760646567	0.919826112393288	0.967459910597763
sense	NC_007795.1	RefSeq	CDS	610262	611050	.	+	0	ID=cds-YP_499182.1;Parent=gene-SAOUHSC_00619;Dbxref=Genbank:YP_499182.1,GeneID:3918938;Name=YP_499182.1;Note=conserved hypothetical protein;gbkey=CDS;locus_tag=SAOUHSC_00619;product=hypothetical protein;protein_id=YP_499182.1;transl_table=11	5	40.5	21	1141	1886.5	2209	216.158174754538	-0.892753272561867	0.76556468307628	-1.16613696046493	0.243559075190301	0.499958849922948
sense	NC_007795.1	RefSeq	CDS	611301	611675	.	-	0	ID=cds-YP_499183.1;Parent=gene-SAOUHSC_00620;Dbxref=Genbank:YP_499183.1,GeneID:3918939;Name=YP_499183.1;Note=staphylococcal accessory regulator T%2C putative;gbkey=CDS;locus_tag=SAOUHSC_00620;product=accessory regulator A;protein_id=YP_499183.1;transl_table=11	350	1319.5	1112	21381	15698.5	68512.3333333333	6437.23474339482	0.100390236979086	0.796789893817916	0.125993361308906	0.899737179606372	0.959348741859444
sense	NC_007795.1	RefSeq	CDS	612623	613516	.	-	0	ID=cds-YP_499184.1;Parent=gene-SAOUHSC_00621;Dbxref=Genbank:YP_499184.1,GeneID:3918940;Name=YP_499184.1;Note=conserved hypothetical protein;gbkey=CDS;locus_tag=SAOUHSC_00621;product=hypothetical protein;protein_id=YP_499184.1;transl_table=11	0	1	0	35	263.5	154.5	7.90565022135924	-1.75394403526967	1.09337769890535	-1.60415201172079	0.10868054955592	0.306847773833907
sense	NC_007795.1	RefSeq	CDS	613747	613971	.	-	0	ID=cds-YP_499185.2;Parent=gene-SAOUHSC_00622;Dbxref=Genbank:YP_499185.2,GeneID:3920033;Name=YP_499185.2;Note=conserved hypothetical protein;gbkey=CDS;locus_tag=SAOUHSC_00622;product=hypothetical protein;protein_id=YP_499185.2;transl_table=11	0	2	4	17	180	52	9.21297391136624	0.98338026366	0.900221004743302	1.09237649252631	0.274667651141885	0.539941131804976
sense	NC_007795.1	RefSeq	CDS	614350	614910	.	+	0	ID=cds-YP_499186.1;Parent=gene-SAOUHSC_00624;Dbxref=Genbank:YP_499186.1,GeneID:3920034;Name=YP_499186.1;Note=integrase/recombinase%2C putative;gbkey=CDS;locus_tag=SAOUHSC_00624;product=integrase/recombinase;protein_id=YP_499186.1;transl_table=11	11	30	24	1016	1315	1293	198.035193672175	-0.420238442764765	0.782552398895226	-0.537009973208235	0.591260725068479	0.794270111472069
